country_20230124,ISO,region,subregion,Income.Group.,retractions,citabledocuments_1996_2021,mean_democracy_2008_2021,ongoing_nonviolent_campaign,GDP_pc_mean_1960_2022,HDI_mean_1990_2021,industry_share_mean_1960_2022,length_of_last_leader_tenure_2015,muslim_proportion,top_universities_shanghai_2022,plurality
Afghanistan,AFG,Asia,Southern Asia,Low ,0,2346,2.505384615,0,300.0556224,0.39490625,20.49490898,2,99.3,0,0
Albania,ALB,Europe,Southern Europe,Upper middle ,5,6460,5.880769231,1,2558.902272,0.71675,21.85183282,3,20.5,0,0
Algeria,DZA,Africa,Northern Africa,Lower middle ,61,90863,3.677692308,0,2246.062911,0.67996875,45.84945225,17,99.1,0,0
American Samoa,ASM,Oceania,Polynesia,NA,0,224,NA,0,11479.30682,NA,NA,NA,NA,0,NA
Andorra,AND,Europe,Southern Europe,NA,0,310,NA,0,24620.44477,0.8515,13.09153153,NA,0,0,NA
Angola,AGO,Africa,Sub-Saharan Africa,Lower middle ,1,1525,3.444615385,0,1719.346157,0.503521739,54.63098073,37,0,0,0
Anguilla,AIA,Americas,Latin America and the Caribbean,NA,2,100,NA,0,NA,NA,NA,NA,NA,0,NA
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,High ,0,234,NA,0,10004.88998,0.792533333,14.79417873,NA,0.4,0,NA
Argentina,ARG,Americas,Latin America and the Caribbean,Upper middle ,44,243496,6.89,0,5750.023179,0.80065625,33.99254668,1,0.2,2,0
Armenia,ARM,Asia,Western Asia,NA,8,20294,4.436153846,0,2357.940262,0.7044375,25.96817745,8,0,0,0
Aruba,ABW,Americas,Latin America and the Caribbean,NA,6,170,NA,0,21433.3231,NA,13.88163166,NA,0,0,NA
Australia,AUS,Oceania,Australia and New Zealand,High ,514,1538304,9.08,0,23702.94797,0.90940625,25.43996397,1,0.2,33,0
Austria,AUT,Europe,Western Europe,High ,61,440891,8.406923077,0,23182.65234,0.8831875,28.41758903,8,0.6,13,0
Azerbaijan,AZE,Asia,Western Asia,NA,19,440891,2.869230769,0,3151.013931,0.689888889,47.21376483,13,93.4,0,1
Bahamas,BHS,Americas,Latin America and the Caribbean,High ,0,844,NA,0,14846.18303,0.808074074,12.20687958,4,0,0,NA
Bahrain,BHR,Asia,Western Asia,NA,21,9793,2.816923077,1,15488.33379,0.809375,45.00345598,17,95,0,1
Bangladesh,BGD,Asia,Southern Asia,Lower middle ,50,74897,5.774615385,0,539.2808055,0.52296875,19.82657903,7,85.9,0,1
Barbados,BRB,Americas,Latin America and the Caribbean,High ,0,2327,NA,0,10671.03254,0.7685625,15.24852736,NA,0.2,0,NA
Belarus,BLR,Europe,Eastern Europe,Upper middle ,13,45986,3.116153846,0,4089.962419,0.764222222,35.27146784,22,0,0,1
Belgium,BEL,Europe,Western Europe,High ,120,594668,7.862307692,0,22114.95294,0.89503125,21.93541826,2,1.1,9,0
Belize,BLZ,Americas,Latin America and the Caribbean,Lower middle ,2,574,NA,0,3062.342654,0.6658125,19.11790396,8,0,0,NA
Benin,BEN,Africa,Sub-Saharan Africa,Lower middle ,2,7384,5.57,0,517.2213308,0.4564375,14.82825681,10,15.2,0,0
Bermuda,BMU,Americas,Northern America,NA,2,949,NA,0,44934.40509,NA,7.204183018,NA,0,0,NA
Bhutan,BTN,Asia,Southern Asia,NA,0,1418,4.988461538,0,1312.135447,0.630666667,33.3909344,3,5,0,1
Bolivia,BOL,Americas,Latin America and the Caribbean,Lower middle ,1,5858,5.574615385,1,1157.331681,0.6435625,29.20358421,10,0,0,0
Bosnia & Herzegovina,BIH,Europe,Southern Europe,Upper middle ,7,16698,5.035384615,0,3618.818926,0.729772727,22.95075471,1,40,0,0
